passage_id,layer,num_removed,exact_match,first_divergence_idx
13,25,20,False,0
13,26,20,False,1
13,27,20,False,0
13,28,20,False,0
13,29,20,False,0
13,30,20,False,1
13,31,20,False,0
13,32,20,False,1
13,33,20,False,0
13,34,20,False,0
14,0,20,False,1
14,1,20,False,0
14,2,20,False,1
14,3,20,False,2
14,4,20,False,0
14,5,20,False,0
14,6,20,False,0
14,7,20,False,0
14,8,20,False,0
14,9,20,False,0
14,10,20,False,0
14,11,20,False,0
14,12,20,False,0
14,13,20,False,3
14,14,20,False,2
14,15,20,False,2
14,16,20,False,2
14,17,20,False,3
14,18,20,False,3
14,19,20,False,2
14,20,20,False,2
14,21,20,False,2
14,22,20,False,7
14,23,20,False,2
14,24,20,False,3
14,25,20,False,7
14,26,20,False,3
14,27,20,False,2
14,28,20,False,2
14,29,20,False,2
14,30,20,False,2
14,31,20,False,2
14,32,20,False,2
14,33,20,False,0
14,34,20,False,2
15,0,20,False,0
15,1,20,False,0
15,2,20,False,0
15,3,20,False,0
15,4,20,False,0
15,5,20,False,0
15,6,20,False,0
15,7,20,False,0
15,8,20,False,0
15,9,20,False,0
15,10,20,False,0
15,11,20,False,0
15,12,20,False,0
15,13,20,False,0
15,14,20,False,0
15,15,20,False,0
15,16,20,False,0
15,17,20,False,0
15,18,20,False,0
15,19,20,False,0
15,20,20,False,0
15,21,20,False,0
15,22,20,False,0
15,23,20,False,0
15,24,20,False,0
15,25,20,False,0
15,26,20,False,0
15,27,20,False,0
15,28,20,False,0
15,29,20,False,0
15,30,20,False,0
15,31,20,False,0
15,32,20,False,0
15,33,20,False,0
15,34,20,False,0
16,0,20,False,0
16,1,20,False,0
16,2,20,False,0
16,3,20,False,0
16,4,20,False,0
16,5,20,False,1
16,6,20,False,0
16,7,20,False,0
16,8,20,False,1
16,9,20,False,0
16,10,20,False,0
16,11,20,False,0
16,12,20,False,0
16,13,20,False,0
16,14,20,False,0
16,15,20,False,0
16,16,20,False,0
16,17,20,False,1
16,18,20,False,0
16,19,20,False,0
16,20,20,False,0
16,21,20,False,0
16,22,20,False,1
16,23,20,False,1
16,24,20,False,0
16,25,20,False,0
16,26,20,False,1
16,27,20,False,0
16,28,20,False,0
16,29,20,False,0
16,30,20,False,0
16,31,20,False,1
16,32,20,False,0
16,33,20,False,0
16,34,20,False,0
17,0,20,False,0
17,1,20,False,2
17,2,20,False,2
17,3,20,False,1
17,4,20,False,2
17,5,20,False,2
17,6,20,False,0
17,7,20,False,0
17,8,20,False,0
17,9,20,False,2
17,10,20,False,0
17,11,20,False,1
17,12,20,False,2
17,13,20,False,0
17,14,20,False,2
17,15,20,False,2
17,16,20,False,2
17,17,20,False,2
17,18,20,False,0
17,19,20,False,0
17,20,20,False,0
17,21,20,False,2
17,22,20,False,2
17,23,20,False,0
17,24,20,False,1
17,25,20,False,1
17,26,20,False,2
17,27,20,False,2
17,28,20,False,2
17,29,20,False,1
17,30,20,False,1
17,31,20,False,2
17,32,20,False,2
17,33,20,False,2
17,34,20,False,1
18,0,20,True,30
18,1,20,True,30
18,2,20,False,1
18,3,20,False,1
18,4,20,True,30
18,5,20,False,3
18,6,20,False,1
18,7,20,False,1
18,8,20,False,3
18,9,20,False,3
18,10,20,False,1
18,11,20,False,0
18,12,20,False,3
18,13,20,False,3
18,14,20,False,0
18,15,20,False,0
