layer,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SPACE,SYM,VERB,X
10,1.459768848539603,1.0049659451244302,0.9120025881591718,1.2234181060671816,0.8054913369872977,1.4034443973226634,0.8709478092709776,1.7869550711743774,2.7360077644775154,1.1541271690863855,1.0304802657750158,0.2982919263306212,0.18240051763183435,0.8723503017174687,0.0,0.5211443360909553,1.1220031841168758
11,1.4287099368685476,1.1812757600585406,1.262772814374238,1.2723548303098688,1.1716237628906148,0.9356295982151089,0.8494429250914473,1.4421040925266904,2.4872797858886506,0.680639099717612,1.1214049951081053,0.5337855523811115,0.3648010352636687,1.0359159832894942,0.0,0.6514304201136941,1.056002996815883
12,0.962826261802717,0.8639180931771416,0.8418485429161586,1.321291554552556,1.1716237628906148,1.975218040676341,0.6666514095654397,1.5675044483985767,2.7360077644775154,1.1541271690863855,0.8789390502198664,0.612283427731275,0.0,1.1449597710041777,1.2540035587188612,0.3474295573939702,2.112005993631766
13,0.7764727917763846,0.5465604262957428,0.2806161809720529,1.2234181060671816,0.5858118814453074,2.884857927829919,0.7096611779245002,2.069105871886121,2.4872797858886506,1.3316851950996758,0.9547096579974411,0.3924893767508173,0.0,1.0359159832894942,0.0,0.26057216804547767,2.112005993631766
14,1.5529455835527692,0.3878815928550432,0.8418485429161586,0.9297977606110581,0.5858118814453074,1.0915678645842937,1.1720161877844018,2.100455960854093,1.5752771977294786,0.9173831344019988,1.3790250615518593,0.1726953257703596,0.0,0.817828407860127,0.0,0.8034308514735561,1.914005431728788
15,1.925652523605434,0.4584055188286874,0.7716944976731454,0.8319243121256835,0.5125853962646439,1.5074032415687866,1.0752442089765155,1.473454181494662,1.741095850122055,1.1541271690863855,1.3790250615518593,0.20409447591042498,0.0,1.090437877146836,0.0,0.6080017254394479,1.4520041206218393
16,1.61506340689488,0.4055125743484543,0.7716944976731454,0.9787344848537454,0.5125853962646439,1.8192797743071563,1.0107295564379246,1.6615547153024912,1.906914502514632,1.1245341647508373,1.3335626968853145,0.2982919263306212,0.0,1.0359159832894942,0.0,0.4342869467424628,1.6500046825248174
17,1.056002996815883,0.5112984633089206,0.9821566334021851,1.321291554552556,0.6590383666259708,1.7413106411225638,0.9354624618095685,1.5048042704626337,2.0727331549072088,1.3316851950996758,1.3638709399963445,0.3453906515407192,0.0,1.090437877146836,0.0,0.5211443360909553,1.3860039333208465
18,0.9317673501316616,0.6699772967496201,0.49107831670109253,1.2234181060671816,0.5858118814453074,2.1831357291685873,0.7204136200142655,1.8496552491103202,2.4872797858886506,1.6572082427907076,0.8789390502198664,0.40818895182084997,0.0,1.2540035587188614,0.0,0.477715641416709,1.914005431728788
19,0.7143549684342738,0.4407745373352764,0.35077022621506615,1.4191650030379308,0.43935891108398056,2.1311563070455257,0.827938040911917,2.476657028469751,1.6581865239257672,1.183720173421934,1.0001720226639859,0.25119320112052307,0.0,1.581134921862912,0.0,0.4342869467424628,2.9700084285446713
20,0.7143549684342738,0.3878815928550432,0.07015404524301322,1.0766079333391199,0.8054913369872977,2.7808990835837957,0.7419185041937957,1.7556049822064057,2.2385518072997854,0.9765691430730955,1.0759426304415607,0.48668682717101347,0.0,2.017310072721646,0.0,0.28228651538260074,2.574007304738715
21,0.7143549684342738,0.5818223892825648,0.07015404524301322,1.0766079333391199,1.6109826739745954,2.650950528276142,0.4731074519496668,1.410754003558719,2.2385518072997854,1.1245341647508373,0.8183225639978067,1.067571104762223,0.0,1.9627881788643047,0.0,0.19542912603410825,2.5080071174377223
22,1.2734153785132707,0.5289294448023316,0.2806161809720529,0.9787344848537454,0.7322648518066344,2.1571460181070568,0.6343940832961441,1.5988545373665481,2.2385518072997854,1.1541271690863855,1.469949790884949,0.43958810196091536,0.0,1.6901787095775958,0.0,0.30400086271972393,1.8480052444277955
23,0.8696495267895508,0.5818223892825648,0.49107831670109253,0.9787344848537454,0.6590383666259708,2.650950528276142,0.623641641206379,2.0064056939501778,2.2385518072997854,1.4796502167774175,1.1214049951081053,0.3453906515407192,0.0,1.2540035587188614,0.0,0.19542912603410825,2.376006742835737
24,0.9317673501316616,0.7228702412298532,0.7015404524301323,1.4191650030379308,0.8787178221679611,1.585372374753379,0.8709478092709776,1.881005338078292,1.906914502514632,1.1245341647508373,0.757706077775747,0.5494851274511442,0.5472015528955031,1.5266130280055703,0.0,0.49942998875383215,2.5080071174377223
25,0.652237145092163,1.322323612005829,0.7716944976731454,0.7829875878829962,1.6842091591552588,1.845269485368687,0.5698794307575532,1.0659030249110322,2.3214611334960735,0.8581971257309021,0.45462364666544813,1.2402664305325826,0.18240051763183435,2.562529011295064,1.2540035587188612,0.4342869467424628,1.518004307922832
26,0.7454138801053293,0.8639180931771416,0.35077022621506615,0.9297977606110581,1.0251707925292879,3.4566315711835967,0.4516025677701365,1.2540035587188614,2.0727331549072088,1.1245341647508373,0.8031684424422917,0.4552876770309481,0.0,1.7447006034349375,0.0,0.19542912603410825,3.3000093650496347
27,1.304474290184326,0.8639180931771416,0.631386407187119,0.6361774151549344,0.9519443073486245,1.8972489074917485,0.8601953671812125,1.6929048042704626,1.8240051763183436,0.9765691430730955,1.0001720226639859,0.5494851274511442,0.0,1.5266130280055703,1.2540035587188612,0.30400086271972393,1.9800056190297808
28,0.559060410078997,0.4584055188286874,0.2806161809720529,0.9787344848537454,0.6590383666259708,2.495012261906957,0.8386904830016821,1.7556049822064057,1.8240051763183436,1.686801247126256,1.2274838459967101,0.3610902266107519,0.0,1.0359159832894942,0.0,0.26057216804547767,2.7060076793407006
29,0.80753170344744,0.7228702412298532,0.5612323619441058,1.3702282787952433,0.8054913369872977,1.455423819445725,0.9354624618095685,1.5675044483985767,1.8240051763183436,0.9469761387375472,1.0304802657750158,0.7221804532215038,0.18240051763183435,1.9627881788643047,0.0,0.477715641416709,1.8480052444277955
30,0.9317673501316616,0.9168110376573748,1.1926187691312247,0.734050863640309,1.0251707925292879,1.2215164198919477,1.118253977335576,1.5675044483985767,1.5752771977294786,0.5622670823754187,1.5608745202180385,0.5180859773110787,0.18240051763183435,1.0359159832894942,0.0,0.5428586834280785,0.9240026222138977
31,1.304474290184326,1.0225969266178412,0.7716944976731454,0.7829875878829962,1.0983972777099513,1.8192797743071563,0.8494429250914473,1.1286032028469752,1.741095850122055,0.7398251083887087,0.985017901108471,0.6436825778713403,0.0,1.4720911341482283,0.0,0.6514304201136941,1.71600486982581
32,0.5901193217500523,0.5994533707759758,0.4209242714580793,0.7829875878829962,1.0251707925292879,2.0791768849224646,1.04298688270722,1.473454181494662,1.906914502514632,0.8877901300664505,1.1062508735525904,0.659382152941373,0.0,1.635656815720254,0.0,0.4342869467424628,2.046005806330774
33,0.8696495267895508,0.987334963631019,0.49107831670109253,1.2234181060671816,1.3180767332519416,2.053187173860933,0.7311660621040306,1.2853536476868328,2.155642481103497,1.0357551517441923,0.7880143208867767,0.8477770537817653,0.0,1.4720911341482283,0.0,0.4342869467424628,1.71600486982581
34,0.7764727917763846,1.0225969266178412,0.21046213572903966,1.2234181060671816,1.0983972777099513,1.7932900632456252,0.7311660621040306,1.8496552491103202,2.4872797858886506,0.7990111170598054,0.6364731053316274,0.7221804532215038,0.0,2.12635386043633,0.0,0.477715641416709,2.2440063682337517
